lemma,inferred,segmentation,member1,member1_category,member1_subcategory,member2,member2_category,member2_subcategory,analysis_count,member_count
ἀάατος,0,ἀ+άατος,ἀ/ἀν,d,,ἀάω,v,thematic,1,2
ἄαπτος,0,ἄ+απτος,ἀ/ἀν,d,,ἅπτομαι,v,thematic,1,2
ἀβάρβαρος,1,ἀ+βάρβαρος,ἀ/ἀν,d,,βάρβαρος,a,thematic,1,2
ἀβλήτος,0,ἀ+βλήτος,ἀ/ἀν,d,,βάλλω,v,thematic,1,2
ἄβρομος,0,ἄ+βρομος,ἀ/ἀν,d,,βρέμω,v,thematic,1,2
ἀγάκλειτος,0,ἀγά+κλειτος,ἀγα-,d,,κλέω,v,thematic,1,2
ἀγακλῆς,0,ἀγα+κλῆς,ἀγα-,d,,κλέος,n,s-stem,2,2
ἀγακλῆς,0,ἀγα+κλῆς,ἀγα-,d,,κλέω,v,thematic,2,2
ἀγακλυτός,0,ἀγα+κλυτός,ἀγα-,d,,κλυτός,a,thematic,1,2
Ἀγαμέμνων,0,Ἀγα+μέμνων,ἀγα-,d,,μένω,v,thematic,1,2
Ἀγαμήδης,0,Ἀγα+μήδης,ἀγα-,d,,μήδομαι,v,athematic,1,2
ἄγαμος,0,ἄ+γαμος,ἀ/ἀν,d,,γάμος,n,thematic,1,2
ἀγάννιφος,0,ἀγά+ννιφος,ἀγα-,d,,νίφα,n,C-stem,1,2
ἀγανόφρων,0,ἀγανό+φρων,ἀγανός,a,thematic,φρήν,n,n-stem,1,2
Ἀγαπήνωρ,0,Ἀγα+πήνωρ,ἀγαπάω,v,thematic,ἀνήρ,n,r-stem,1,2
ἀγάρροος,0,ἀγά+ρροος,ἀγα-,d,,ῥέω,v,thematic,1,2
Ἀγασθένης ,1,Ἀγα+σθένης ,ἀγα-,d,,σθένος,n,s-stem,1,2
Ἀγασθένης ,1,Ἀγα+σθένης ,ἀγα-,d,,σθένω,v,thematic,1,2
Ἀγάστροφος,0,Ἀγά+στροφος,ἀγα-,d,,στρέφω,v,thematic,1,2
Ἀγέλαος,0,Ἀγέ+λαος,ἄγω,v,thematic,λαός,n,thematic,1,2
ἀγήρως,0,ἀ+γήρως,ἀ/ἀν,d,,γῆρας,n,s-stem,1,2
ἀγκυλομήτης,0,ἀγκυλο+μήτης,ἀγκύλος,a,thematic,μήτις?,n,i-stem,1,2
ἀγκυλότοξος,0,ἀγκυλό+τοξος,ἀγκύλος,a,thematic,τόξον,n,thematic,1,2
ἀγκυλοχείλης,0,ἀγκυλο+χείλης,ἀγκύλος,a,thematic,χεῖλος,n,s-stem,1,2
ἄγονος,0,ἄ+γονος,ἀ/ἀν,d,,γίγνομαι,v,thematic,1,2
ἀγχέμαχος,0,ἀγχέ+μαχος,ἄγχι,d,,μάχομαι,v,thematic,1,2
ἀγχίαλος,0,ἀγχί+αλος,ἄγχι,d,,ἅλς,n,l-stem,1,2
ἀγχιμαχητής,0,ἀγχι+μαχητής,ἄγχι,d,,μαχητής,n,-ā/a,1,2
ἀγχίμολος,0,ἀγχί+μολος,ἄγχι ,d,,βλώσκω,v,thematic,1,2
ἀδαήμων,0,ἀ+δαήμων,ἀ/ἀν,d,,δαήμων,a,n-stem,1,2
