compound,work,book,line_num
Ἀβάρβαρος (*),Iliad,6,22
ἄβροτος,Iliad,14,78
ἄβροτος,Iliad,14,177
ἄβροτος (*),Iliad,14,170
ἄβροτος (*),Iliad,14,172
ἄβροτος (*),Iliad,14,177
ἀγακλής,Iliad,17,716
ἀγακλής,Iliad,21,379
Ἀγακλῆς,Iliad,16,571
ἀγακλῆς,Iliad,16,738
ἀγακλῆς,Iliad,23,529
ἀγακλυτός,Iliad,6,436
ἄγαμος,Iliad,3,40
ἀγάννιφος,Iliad,18,186
ἀγανόφρων,Iliad,20,467
ἀγάνωρ (*),Iliad,22,456
Ἀγάσθενος ,Iliad,2,624
Ἀγήνορος,Iliad,20,474
Ἀγήνωρ,Iliad,13,490
Ἀγήνωρ,Iliad,13,598
Ἀγήνωρ,Iliad,14,425
Ἀγήνωρ,Iliad,15,340
Ἀγήνωρ,Iliad,16,535
ἀγήνωρ,Iliad,21,443
Ἀγήνωρ,Iliad,21,545
Ἀγήνωρ,Iliad,21,595
Ἀγήνωρ,Iliad,21,579
Ἀγήνωρ,Iliad,21,600
ἀγήνωρ,Iliad,24,42
ἀγήρως,Iliad,2,447
ἀγήρως,Iliad,8,539
ἀγήρως,Iliad,12,323
ἀγήρως,Iliad,17,444
ἀγκυλομήτης,Iliad,4,59
ἀγκυλομήτης,Iliad,4,75
ἀγκυλότοξος,Iliad,2,848
ἀγκυλότοξος,Iliad,10,428
ἀγκυλοχείλης,Iliad,16,428
ἀγχίαλος,Iliad,2,640
ἀγχίαλος,Iliad,2,697
Ἀγχίαλος,Iliad,5,609
ἀγχιμαχητής,Iliad,2,604
ἀγχιμαχητής,Iliad,8,173
ἀγχιμαχητής,Iliad,11,286
ἀγχιμαχητής,Iliad,13,150
ἀγχιμαχητής,Iliad,15,425
ἀγχιμαχητής,Iliad,15,486
ἀγχιμαχητής,Iliad,17,184
ἀδαήμων,Iliad,5,634
ἀδάκρυτος,Iliad,1,415
ἀεικέλιος,Iliad,14,84
ἀεκήλιος,Iliad,18,77
ἀέκων,Iliad,13,367
ἀέκων,Iliad,19,273
ἀέκων,Iliad,21,59
ἀέκων (*),Iliad,12,8
ἀελλόπος,Iliad,8,409
ἀελλόπος,Iliad,24,77
ἀελλόπος,Iliad,24,159
ἀθάνατος,Iliad,1,265
ἀθάνατος,Iliad,1,398
ἀθάνατος,Iliad,1,503
ἀθάνατος,Iliad,1,520
ἀθάνατος,Iliad,1,525
ἀθάνατος,Iliad,1,530
ἀθάνατος,Iliad,2,14
ἀθάνατος,Iliad,2,31
ἀθάνατος,Iliad,2,49
ἀθάνατος,Iliad,2,67
ἀθάνατος,Iliad,2,306
ἀθάνατος,Iliad,2,447
ἀθάνατος,Iliad,2,741
ἀθάνατος,Iliad,2,814
ἀθάνατος,Iliad,3,158
ἀθάνατος,Iliad,3,298
ἀθάνατος,Iliad,3,308
ἀθάνατος,Iliad,4,61
ἀθάνατος,Iliad,4,64
ἀθάνατος,Iliad,4,128
ἀθάνατος,Iliad,4,394
ἀθάνατος,Iliad,5,130
ἀθάνατος,Iliad,5,186
ἀθάνατος,Iliad,5,342
ἀθάνατος,Iliad,5,360
ἀθάνατος,Iliad,5,380
ἀθάνατος,Iliad,5,407
ἀθάνατος,Iliad,5,442
ἀθάνατος,Iliad,5,828
ἀθάνατος,Iliad,5,882
ἀθάνατος,Iliad,6,108
ἀθάνατος,Iliad,6,128
ἀθάνατος,Iliad,6,140
ἀθάνατος,Iliad,6,259
ἀθάνατος,Iliad,7,32
ἀθάνατος,Iliad,7,102
ἀθάνατος,Iliad,7,130
ἀθάνατος,Iliad,7,447
ἀθάνατος,Iliad,8,456
ἀθάνατος,Iliad,8,539
ἀθάνατος,Iliad,9,110
ἀθάνατος,Iliad,10,404
ἀθάνατος,Iliad,10,441
ἀθάνατος,Iliad,10,463
ἀθάνατος,Iliad,11,2
ἀθάνατος,Iliad,11,60
ἀθάνατος,Iliad,12,9
ἀθάνατος,Iliad,12,242
ἀθάνατος,Iliad,12,323
ἀθάνατος,Iliad,13,19
ἀθάνατος,Iliad,13,525
ἀθάνατος,Iliad,13,818
ἀθάνατος,Iliad,14,177
ἀθάνατος,Iliad,14,199
ἀθάνατος,Iliad,14,434
ἀθάνατος,Iliad,15,50
ἀθάνατος,Iliad,15,73
ἀθάνατος,Iliad,15,85
ἀθάνατος,Iliad,15,96
ἀθάνατος,Iliad,15,107
ἀθάνατος,Iliad,15,122
ἀθάνατος,Iliad,15,144
ἀθάνατος,Iliad,16,154
ἀθάνατος,Iliad,16,449
ἀθάνατος,Iliad,16,704
ἀθάνατος,Iliad,19,2
ἀθάνατος,Iliad,19,22
ἀθάνατος,Iliad,17,444
ἀθάνατος,Iliad,17,476
ἀθάνατος,Iliad,18,86
ἀθάνατος,Iliad,18,116
ἀθάνατος,Iliad,18,186
ἀθάνατος,Iliad,18,366
ἀθάνατος,Iliad,18,370
ἀθάνατος,Iliad,18,420
ἀθάνατος,Iliad,20,64
ἀθάνατος,Iliad,20,123
ἀθάνατος,Iliad,20,235
ἀθάνατος,Iliad,20,292
ἀθάνατος,Iliad,20,314
